 Vbg, Id_Vjg=-1.5V, Id_Vjg=-1.25V, Id_Vjg=-1V, Id_Vjg=-0.75V, Id_Vjg=-0.5V, Id_Vjg=-0.25V, Id_Vjg=0V
-11.7,9.60E-11,1.21E-10,9.21E-11,1.58E-10,2.19E-10,7.43E-10,2.61E-09
-11.65,8.13E-11,5.31E-11,1.47E-10,1.23E-10,1.76E-10,7.03E-10,2.54E-09
-11.6,4.79E-11,9.88E-11,8.20E-11,1.24E-10,2.60E-10,7.86E-10,2.53E-09
-11.55,1.22E-10,1.11E-10,1.58E-10,1.86E-10,2.32E-10,7.59E-10,2.61E-09
-11.5,8.11E-11,5.74E-11,1.19E-10,1.21E-10,2.24E-10,8.00E-10,2.71E-09
-11.45,7.02E-11,1.41E-10,1.24E-10,1.82E-10,2.94E-10,8.64E-10,2.68E-09
-11.4,1.30E-10,7.20E-11,1.84E-10,1.86E-10,2.29E-10,8.03E-10,2.72E-09
-11.35,7.11E-11,1.18E-10,1.15E-10,1.47E-10,2.95E-10,9.41E-10,2.88E-09
-11.3,1.08E-10,1.45E-10,1.72E-10,2.26E-10,3.08E-10,9.23E-10,2.90E-09
-11.25,1.38E-10,8.46E-11,1.78E-10,1.75E-10,2.73E-10,9.18E-10,3.03E-09
-11.2,8.20E-11,1.69E-10,1.34E-10,2.10E-10,3.59E-10,1.05E-09,3.05E-09
-11.15,1.55E-10,1.29E-10,2.15E-10,2.51E-10,3.13E-10,1.00E-09,3.04E-09
-11.1,1.21E-10,1.31E-10,1.76E-10,2.01E-10,3.48E-10,1.07E-09,3.22E-09
-11.05,1.08E-10,1.88E-10,1.94E-10,2.83E-10,3.96E-10,1.08E-09,3.28E-09
-11,1.81E-10,1.19E-10,2.45E-10,2.54E-10,3.46E-10,1.09E-09,3.35E-09
-10.95,1.06E-10,1.74E-10,1.84E-10,2.62E-10,4.38E-10,1.19E-09,3.52E-09
-10.9,1.58E-10,1.97E-10,2.66E-10,3.15E-10,4.21E-10,1.28E-09,3.53E-09
-10.85,1.72E-10,1.48E-10,2.41E-10,2.59E-10,4.26E-10,1.21E-09,3.59E-09
-10.8,1.28E-10,2.17E-10,2.25E-10,3.46E-10,5.07E-10,1.31E-09,3.62E-09
-10.75,2.05E-10,1.98E-10,3.11E-10,3.20E-10,4.55E-10,1.32E-09,3.80E-09
-10.7,1.64E-10,1.81E-10,2.50E-10,3.30E-10,5.26E-10,1.30E-09,3.90E-09
-10.65,1.74E-10,2.57E-10,2.98E-10,4.00E-10,5.44E-10,1.45E-09,3.89E-09
-10.6,2.31E-10,1.96E-10,3.37E-10,3.43E-10,5.25E-10,1.42E-09,3.91E-09
-10.55,1.66E-10,2.48E-10,2.87E-10,4.08E-10,6.26E-10,1.50E-09,4.05E-09
-10.5,2.37E-10,2.75E-10,3.76E-10,4.26E-10,5.86E-10,1.57E-09,4.05E-09
-10.45,2.26E-10,2.24E-10,3.50E-10,4.06E-10,6.38E-10,1.59E-09,4.17E-09
-10.4,2.01E-10,3.17E-10,3.52E-10,5.00E-10,7.02E-10,1.70E-09,4.26E-09
-10.35,2.77E-10,2.72E-10,4.25E-10,4.61E-10,6.60E-10,1.68E-09,4.55E-09
-10.3,2.28E-10,3.06E-10,3.78E-10,5.06E-10,7.73E-10,1.78E-09,4.71E-09
-10.25,2.61E-10,3.47E-10,4.36E-10,5.55E-10,7.45E-10,1.81E-09,4.88E-09
-10.2,3.09E-10,2.95E-10,4.65E-10,5.14E-10,7.94E-10,1.84E-09,5.01E-09
-10.15,2.58E-10,3.85E-10,4.34E-10,6.15E-10,8.68E-10,2.00E-09,4.81E-09
-10.1,3.35E-10,3.57E-10,5.17E-10,5.93E-10,8.49E-10,1.98E-09,5.00E-09
-10.05,3.15E-10,3.69E-10,4.79E-10,6.08E-10,9.32E-10,2.13E-09,5.15E-09
-10,3.02E-10,4.37E-10,5.44E-10,7.04E-10,9.49E-10,2.21E-09,5.43E-09
-9.95,3.78E-10,3.91E-10,5.83E-10,6.58E-10,9.74E-10,2.21E-09,5.38E-09
-9.9,3.35E-10,4.54E-10,5.53E-10,7.23E-10,1.08E-09,2.40E-09,5.33E-09
-9.85,3.79E-10,4.72E-10,6.53E-10,7.91E-10,1.04E-09,2.43E-09,5.80E-09
-9.8,4.13E-10,4.28E-10,6.21E-10,7.49E-10,1.14E-09,2.51E-09,5.75E-09
-9.75,3.72E-10,5.27E-10,6.53E-10,8.38E-10,1.29E-09,2.61E-09,5.72E-09
-9.7,4.58E-10,4.96E-10,7.17E-10,8.65E-10,1.31E-09,2.65E-09,6.14E-09
-9.65,4.31E-10,5.13E-10,6.98E-10,8.72E-10,1.30E-09,2.85E-09,6.37E-09
-9.6,4.35E-10,5.94E-10,8.00E-10,9.70E-10,1.40E-09,2.81E-09,6.25E-09
-9.55,5.12E-10,5.39E-10,7.89E-10,9.68E-10,1.41E-09,2.91E-09,6.47E-09
-9.5,4.81E-10,6.31E-10,8.16E-10,9.94E-10,1.48E-09,3.09E-09,6.50E-09
-9.45,5.02E-10,6.31E-10,9.04E-10,1.09E-09,1.54E-09,3.09E-09,6.80E-09
-9.4,5.90E-10,6.19E-10,8.67E-10,1.07E-09,1.56E-09,3.31E-09,6.89E-09
-9.35,5.23E-10,7.19E-10,9.70E-10,1.29E-09,1.71E-09,3.39E-09,7.10E-09
-9.3,6.07E-10,6.54E-10,9.68E-10,1.22E-09,1.72E-09,3.46E-09,7.35E-09
-9.25,6.33E-10,7.41E-10,9.83E-10,1.31E-09,1.81E-09,3.61E-09,7.52E-09
-9.2,6.10E-10,7.77E-10,1.10E-09,1.32E-09,1.90E-09,3.69E-09,7.65E-09
-9.15,6.78E-10,7.64E-10,1.07E-09,1.37E-09,1.93E-09,3.83E-09,7.73E-09
-9.1,6.55E-10,8.68E-10,1.15E-09,1.47E-09,2.08E-09,3.89E-09,8.15E-09
-9.05,7.03E-10,8.48E-10,1.30E-09,1.44E-09,2.08E-09,3.99E-09,8.29E-09
-9,7.68E-10,8.87E-10,1.31E-09,1.57E-09,2.22E-09,4.16E-09,8.56E-09
-8.95,7.81E-10,9.65E-10,1.30E-09,1.59E-09,2.26E-09,4.24E-09,8.66E-09
-8.9,8.52E-10,9.51E-10,1.41E-09,1.62E-09,2.34E-09,4.46E-09,8.67E-09
-8.85,8.50E-10,1.05E-09,1.39E-09,1.74E-09,2.48E-09,4.53E-09,9.07E-09
-8.8,8.45E-10,1.07E-09,1.47E-09,1.75E-09,2.48E-09,4.68E-09,9.22E-09
-8.75,9.43E-10,1.09E-09,1.54E-09,1.88E-09,2.65E-09,4.78E-09,9.18E-09
-8.7,9.21E-10,1.22E-09,1.54E-09,1.91E-09,2.67E-09,4.88E-09,9.61E-09
-8.65,9.59E-10,1.29E-09,1.63E-09,2.02E-09,2.79E-09,5.10E-09,9.79E-09
-8.6,1.03E-09,1.23E-09,1.66E-09,2.10E-09,2.92E-09,5.17E-09,1.01E-08
-8.55,1.01E-09,1.31E-09,1.78E-09,2.13E-09,2.97E-09,5.37E-09,1.03E-08
-8.5,1.13E-09,1.36E-09,1.82E-09,2.27E-09,3.15E-09,5.52E-09,1.04E-08
-8.45,1.24E-09,1.37E-09,1.84E-09,2.27E-09,3.16E-09,5.61E-09,1.07E-08
